4,89.36,89.34,89.85,89.36,89.33,89.02,89.07,89.18
5,86.38,86.4,86.24,86.1,86.23,86.26,86.26,86.31
6,89.24,89.69,89.58,89.12,89.54,89.49,89.61,89.42
7,88.89,88.45,88.52,88.72,88.73,88.96,88.85,88.7
8,88.59,89.07,88.86,88.49,88.83,88.44,88.57,88.46
9,88.46,88.46,88.53,88.05,88.56,88.63,88.45,88.55
3,89,89.22,88.58,89.21,89.81,89.28,89.11,89.07
2,89.61,89.42,89.37,89.26,89.47,89.37,89.34,89.04
1,89.13,89.35,89.21,89.33,89.38,89.68,89.05,89.24
